Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
95%_DR,0.00011522002447588071,0.00021454306747148435,0.0001937847333806751,7.93794931848026e-05,6.713799626776951e-05,0.0001438671939904285,0.0001835344594959819,6.66150980288586e-05,827,2
5%_DR,7.806983695813531e-06,9.640928027841788e-06,8.820606018899573e-06,4.684501612757765e-06,3.598233069020202e-06,5.723918387151156e-06,1.0169256254624181e-05,5.321864985268614e-06,827,2
1%_DR,4.913041699402684e-06,5.36054817638837e-06,4.479672316729688e-06,2.167047478933069e-06,2.0649295266149926e-06,2.770920890474034e-06,5.508727654350113e-06,2.735583219539971e-06,827,2
Min_DR,2.1042102359712017e-06,3.3334614284559026e-06,1.2520279380518324e-06,7.495816482591951e-07,1.02480029382073e-06,7.495816482591951e-07,3.732724356541283e-06,9.400862280358854e-07,827,2
Max_DR,0.000192915422079661,0.00040040593659970133,0.0001951453215110862,0.00018626245746224598,0.00010108087787253938,0.00040040593659970133,0.0004252747794877531,0.0005764601557835654,673,2.5
99%_DR,8.473035854254438e-05,0.0002989035255352581,0.00012744046280855926,5.469225946159439e-05,5.2829618428508184e-05,0.00013971424153096527,0.00012145940874673107,4.897856764226652e-05,673,2.5
95%_DR,3.931260631007191e-05,0.00011214516724495552,7.807126152410076e-05,1.9400530782972666e-05,1.9217366954293265e-05,5.4569439180709966e-05,8.753616981499472e-05,2.0042327666263814e-05,673,2.5
5%_DR,1.2669580374565519e-06,1.8435930122560967e-06,1.3310093279949875e-06,4.81347869107115e-07,2.7206532993297267e-07,6.438730928990351e-07,1.5558861701923178e-06,1.60362050511701e-06,673,2.5
1%_DR,7.120692625119859e-07,5.394894031926904e-07,4.815225847190729e-07,1.5314505442277481e-07,9.991535967889403e-08,1.703849879715604e-07,8.452102039822216e-07,7.115324466346269e-07,673,2.5
Min_DR,3.3265254909127123e-07,1.6278768457231044e-07,1.0968425995346649e-07,2.9385033385820657e-08,5.214317862837246e-08,2.9385033385820657e-08,3.189720995489616e-07,2.8001012047231223e-07,673,2.5
Max_DR,0.0002309392409121635,0.00042499476163922114,0.00026027198173495073,0.0002358049628205837,0.000130223913581799,0.00042499476163922114,0.00044259564841169717,0.0005810778356249612,686,2.5
99%_DR,0.00011233218800490195,0.0003257395958916814,0.00017196815466378334,8.69431611658144e-05,8.143458965339465e-05,0.0001811705969923793,0.00018828130023864536,0.00010324850235424526,686,2.5
95%_DR,5.903785054115279e-05,0.00014320900798329658,0.00010962351470443831,3.0409905761701224e-05,2.6418474598366487e-05,7.726825563219386e-05,0.00012264635326701969,3.2815353335390274e-05,686,2.5
5%_DR,2.3004016981437377e-06,3.268586161741076e-06,2.372453773921665e-06,1.0078748408472349e-06,5.681581091470229e-07,1.218561802960971e-06,2.120717700861596e-06,2.081342330907192e-06,686,2.5
1%_DR,1.3171363586553054e-06,1.0772285094078644e-06,9.416915492764939e-07,3.6249422243055355e-07,2.179115449620833e-07,3.723344540678026e-07,1.2732174022077208e-06,1.184913064162967e-06,686,2.5
Min_DR,6.766662369141383e-07,3.7266821687726747e-07,2.5762368202941424e-07,8.108217606321517e-08,1.1341259549614334e-07,8.108217606321517e-08,6.878298109578027e-07,5.717432883348401e-07,686,2.5
Max_DR,0.00027804885997438606,0.00045333963185968884,0.0002493391434097645,0.00026293225413821233,0.00015491630610351282,0.00045333963185968884,0.00047151951193873093,0.0006026223191793422,701,2.5
99%_DR,0.00013116545324950152,0.0003594352798867936,0.0001864592670150743,6.967876245423883e-05,9.830534337445356e-05,0.00018652925457074418,0.00023651195117308638,0.00014664151425750895,701,2.5
95%_DR,7.691373062294357e-05,0.0001498757131822856,0.00012923051219918406,3.9480176432082785e-05,3.372342172482982e-05,9.394008294574698e-05,0.0001497225754037091,4.2945253139538116e-05,701,2.5
5%_DR,3.61450490007281e-06,4.7612151811170915e-06,3.8400589679407375e-06,1.8281869526096857e-06,9.822215615195406e-07,2.12112451265968e-06,3.1131445734453726e-06,2.8653773571495873e-06,701,2.5
1%_DR,2.169294244522906e-06,2.1244438077991626e-06,1.7944771330389346e-06,7.643242786331997e-07,5.469571607749232e-07,8.103891288889736e-07,2.0425862309184276e-06,1.7710802819534934e-06,701,2.5
Min_DR,1.2930942040775212e-06,7.89014985560172e-07,4.491690561372153e-07,1.7789121641161913e-07,2.3569435696883302e-07,1.7789121641161913e-07,1.2153678872492984e-06,9.917580709471013e-07,701,2.5
Max_DR,0.0002973493445794223,0.00046070918851256624,0.000299524197970359,0.0003048075697556724,0.00019239489725527163,0.00046070918851256624,0.000510261593875783,0.0006253329385645232,724,2.5
99%_DR,0.00014971972288052224,0.00040923383695458913,0.00022612404985054255,0.00011027632524971457,0.00013241053315425074,0.00022825289023679126,0.0002465160109173768,0.00017244264034097163,724,2.5
95%_DR,9.920565132459258e-05,0.00017563204573494497,0.00015785165534243822,5.14732142244557e-05,4.80730223097667e-05,0.00011451544976601542,0.00016327215665327033,4.921736264119639e-05,724,2.5
5%_DR,4.85261847063159e-06,6.573077242600278e-06,5.01106029262809e-06,2.5835096827495146e-06,1.7635286150061622e-06,3.1909047792191646e-06,4.498822593411688e-06,4.301122367910981e-06,724,2.5
1%_DR,2.8779569386561893e-06,3.5646399498870177e-06,2.5165837130273434e-06,1.1695353910477593e-06,1.0460512117166015e-06,1.4862911688071174e-06,2.948701862501608e-06,2.3961093801109397e-06,724,2.5
Min_DR,1.8430322326184706e-06,9.501790160610958e-07,7.343415942052777e-07,3.5687008058154595e-07,5.320625442515993e-07,3.5687008058154595e-07,1.9587213469975504e-06,1.2545936350341989e-06,724,2.5
Max_DR,0.00026729518460015186,0.00040011501275219994,0.000308157049168331,0.00033061751413676274,0.0001616480418270737,0.00040011501275219994,0.0005107849578563785,0.0005999752010136195,754,2.5
99%_DR,0.00010589323721634738,0.00032281754377108375,0.00020525399255573427,0.00012656760873821924,0.00011428496258379877,0.00020160236778086406,0.00021000862348701237,9.566157473831571e-05,754,2.5
95%_DR,7.098351653314339e-05,0.0001558458734193103,0.00012799913803282882,5.012245371931452e-05,4.3280091441817564e-05,9.506195805590467e-05,0.00013891571549634512,3.87068857189568e-05,754,2.5
5%_DR,4.2752465184359405e-06,5.2817487177533115e-06,4.404621344656114e-06,2.213780787579539e-06,1.538733732995766e-06,2.7958812396677025e-06,3.7030893903904182e-06,3.4673484912905887e-06,754,2.5
1%_DR,2.568820976870232e-06,2.465597819901073e-06,2.0893529125210834e-06,9.728669640092452e-07,9.015885698786236e-07,1.2329826906635385e-06,2.5105476438451357e-06,1.5311949056286624e-06,754,2.5
Min_DR,1.263361660528464e-06,1.238483530993777e-06,6.320778820651951e-07,2.1665064001033437e-07,4.295880830018793e-07,2.1665064001033437e-07,1.380622600584794e-06,8.153415143348355e-07,754,2.5
Max_DR,0.00026571707067214636,0.0004434317859073192,0.0003863183097742978,0.00039023685155703644,0.00021016239540550558,0.0004434317859073192,0.0005505809389928156,0.0006167122663422069,784,2.5
99%_DR,0.00015424937887651753,0.0003830611935592398,0.00025771731930157793,0.00017124272962052418,0.00015991325002769755,0.00024696671987554296,0.0002837119316637794,0.00016759746422384392,784,2.5
95%_DR,0.0001014154805982953,0.00018860892399154958,0.00017346944148155033,7.225087055953061e-05,6.317187944299603e-05,0.00012748825588986074,0.00017594876690917198,5.3215006986764856e-05,784,2.5
5%_DR,6.741060885670474e-06,8.349314686132406e-06,7.77495130402437e-06,4.0346327895352966e-06,3.017076690619795e-06,4.927219988320466e-06,7.146546223252754e-06,4.534215801638988e-06,784,2.5
1%_DR,4.320494258923959e-06,4.689778108556764e-06,3.921139599773338e-06,1.936720094226462e-06,1.6999085738479862e-06,2.2692201933357593e-06,4.29720134329582e-06,2.502129085689088e-06,784,2.5
Min_DR,2.114305478088839e-06,2.4541876722429984e-06,1.0427897581235284e-06,6.367624114587707e-07,8.498579345315411e-07,6.367624114587707e-07,2.186573010130084e-06,1.688148395188457e-06,784,2.5
Max_DR,0.0003769099767480747,0.0004745711012885293,0.0004193540190572846,0.0003690797811657669,0.00024119543305711072,0.0004745711012885293,0.0005418212235421807,0.0005730992807910096,814,2.5
99%_DR,0.00021188085163635642,0.0003384210689447536,0.00028610922740140944,0.00018217003393571014,0.00018192354257933103,0.0002595813958984684,0.00028486203908081935,0.00019163201495561754,814,2.5
95%_DR,0.00012715656327901147,0.00019878128133765506,0.00020493755379634722,8.79816460020935e-05,7.591221774470355e-05,0.00015358613627937585,0.00020437010324704137,6.192222329501218e-05,814,2.5
5%_DR,8.947426662356508e-06,1.0363643368880715e-05,9.70414445576134e-06,5.273273106190816e-06,3.943005428095728e-06,6.231098852781228e-06,7.536526354038389e-06,4.81989947449706e-06,814,2.5
1%_DR,5.377821001605384e-06,5.957743144785623e-06,4.846041238243784e-06,2.434604372168368e-06,2.348023278894914e-06,3.012544894177343e-06,4.052826962706554e-06,2.6452201256805416e-06,814,2.5
Min_DR,2.4274806982901945e-06,3.5336355553168783e-06,1.3508434252910786e-06,8.239286950792169e-07,1.152668914117901e-06,8.239286950792169e-07,2.174509136722802e-06,8.868934047602284e-07,814,2.5
Max_DR,0.0003535335571155389,0.0004509451675764041,0.00040093518059270924,0.000367530944305664,0.00022166236863518224,0.0004509451675764041,0.0003799467732531117,0.0005680951038642438,827,2.5
99%_DR,0.0001886173811158162,0.0003950895174608803,0.0002816945254185484,0.00016579334190136498,0.00016665613563091063,0.00027627452934455595,0.0002700259226100816,0.0002317899119853782,827,2.5
95%_DR,0.00011522002447588071,0.00021454306747148435,0.0001937847333806751,7.93794931848026e-05,6.713799626776951e-05,0.0001438671939904285,0.0001835344594959819,6.66150980288586e-05,827,2.5
5%_DR,7.806983695813531e-06,9.640928027841788e-06,8.820606018899573e-06,4.684501612757765e-06,3.598233069020202e-06,5.723918387151156e-06,1.0169256254624181e-05,5.321864985268614e-06,827,2.5
1%_DR,4.913041699402684e-06,5.36054817638837e-06,4.479672316729688e-06,2.167047478933069e-06,2.0649295266149926e-06,2.770920890474034e-06,5.508727654350113e-06,2.735583219539971e-06,827,2.5
Min_DR,2.1042102359712017e-06,3.3334614284559026e-06,1.2520279380518324e-06,7.495816482591951e-07,1.02480029382073e-06,7.495816482591951e-07,3.732724356541283e-06,9.400862280358854e-07,827,2.5
Max_DR,0.000192915422079661,0.00040040593659970133,0.0001951453215110862,0.00018626245746224598,0.00010108087787253938,0.00040040593659970133,0.0004252747794877531,0.0005764601557835654,673,3
99%_DR,8.473035854254438e-05,0.0002989035255352581,0.00012744046280855926,5.469225946159439e-05,5.2829618428508184e-05,0.00013971424153096527,0.00012145940874673107,4.897856764226652e-05,673,3
95%_DR,3.931260631007191e-05,0.00011214516724495552,7.807126152410076e-05,1.9400530782972666e-05,1.9217366954293265e-05,5.4569439180709966e-05,8.753616981499472e-05,2.0042327666263814e-05,673,3
5%_DR,1.2669580374565519e-06,1.8435930122560967e-06,1.3310093279949875e-06,4.81347869107115e-07,2.7206532993297267e-07,6.438730928990351e-07,1.5558861701923178e-06,1.60362050511701e-06,673,3
1%_DR,7.120692625119859e-07,5.394894031926904e-07,4.815225847190729e-07,1.5314505442277481e-07,9.991535967889403e-08,1.703849879715604e-07,8.452102039822216e-07,7.115324466346269e-07,673,3
Min_DR,3.3265254909127123e-07,1.6278768457231044e-07,1.0968425995346649e-07,2.9385033385820657e-08,5.214317862837246e-08,2.9385033385820657e-08,3.189720995489616e-07,2.8001012047231223e-07,673,3
Max_DR,0.0002309392409121635,0.00042499476163922114,0.00026027198173495073,0.0002358049628205837,0.000130223913581799,0.00042499476163922114,0.00044259564841169717,0.0005810778356249612,686,3
99%_DR,0.00011233218800490195,0.0003257395958916814,0.00017196815466378334,8.69431611658144e-05,8.143458965339465e-05,0.0001811705969923793,0.00018828130023864536,0.00010324850235424526,686,3
95%_DR,5.903785054115279e-05,0.00014320900798329658,0.00010962351470443831,3.0409905761701224e-05,2.6418474598366487e-05,7.726825563219386e-05,0.00012264635326701969,3.2815353335390274e-05,686,3
5%_DR,2.3004016981437377e-06,3.268586161741076e-06,2.372453773921665e-06,1.0078748408472349e-06,5.681581091470229e-07,1.218561802960971e-06,2.120717700861596e-06,2.081342330907192e-06,686,3
1%_DR,1.3171363586553054e-06,1.0772285094078644e-06,9.416915492764939e-07,3.6249422243055355e-07,2.179115449620833e-07,3.723344540678026e-07,1.2732174022077208e-06,1.184913064162967e-06,686,3
Min_DR,6.766662369141383e-07,3.7266821687726747e-07,2.5762368202941424e-07,8.108217606321517e-08,1.1341259549614334e-07,8.108217606321517e-08,6.878298109578027e-07,5.717432883348401e-07,686,3
Max_DR,0.00027804885997438606,0.00045333963185968884,0.0002493391434097645,0.00026293225413821233,0.00015491630610351282,0.00045333963185968884,0.00047151951193873093,0.0006026223191793422,701,3
99%_DR,0.00013116545324950152,0.0003594352798867936,0.0001864592670150743,6.967876245423883e-05,9.830534337445356e-05,0.00018652925457074418,0.00023651195117308638,0.00014664151425750895,701,3
95%_DR,7.691373062294357e-05,0.0001498757131822856,0.00012923051219918406,3.9480176432082785e-05,3.372342172482982e-05,9.394008294574698e-05,0.0001497225754037091,4.2945253139538116e-05,701,3
5%_DR,3.61450490007281e-06,4.7612151811170915e-06,3.8400589679407375e-06,1.8281869526096857e-06,9.822215615195406e-07,2.12112451265968e-06,3.1131445734453726e-06,2.8653773571495873e-06,701,3
1%_DR,2.169294244522906e-06,2.1244438077991626e-06,1.7944771330389346e-06,7.643242786331997e-07,5.469571607749232e-07,8.103891288889736e-07,2.0425862309184276e-06,1.7710802819534934e-06,701,3
Min_DR,1.2930942040775212e-06,7.89014985560172e-07,4.491690561372153e-07,1.7789121641161913e-07,2.3569435696883302e-07,1.7789121641161913e-07,1.2153678872492984e-06,9.917580709471013e-07,701,3
Max_DR,0.0002973493445794223,0.00046070918851256624,0.000299524197970359,0.0003048075697556724,0.00019239489725527163,0.00046070918851256624,0.000510261593875783,0.0006253329385645232,724,3
99%_DR,0.00014971972288052224,0.00040923383695458913,0.00022612404985054255,0.00011027632524971457,0.00013241053315425074,0.00022825289023679126,0.0002465160109173768,0.00017244264034097163,724,3
95%_DR,9.920565132459258e-05,0.00017563204573494497,0.00015785165534243822,5.14732142244557e-05,4.80730223097667e-05,0.00011451544976601542,0.00016327215665327033,4.921736264119639e-05,724,3
5%_DR,4.85261847063159e-06,6.573077242600278e-06,5.01106029262809e-06,2.5835096827495146e-06,1.7635286150061622e-06,3.1909047792191646e-06,4.498822593411688e-06,4.301122367910981e-06,724,3
1%_DR,2.8779569386561893e-06,3.5646399498870177e-06,2.5165837130273434e-06,1.1695353910477593e-06,1.0460512117166015e-06,1.4862911688071174e-06,2.948701862501608e-06,2.3961093801109397e-06,724,3
Min_DR,1.8430322326184706e-06,9.501790160610958e-07,7.343415942052777e-07,3.5687008058154595e-07,5.320625442515993e-07,3.5687008058154595e-07,1.9587213469975504e-06,1.2545936350341989e-06,724,3
Max_DR,0.00026729518460015186,0.00040011501275219994,0.000308157049168331,0.00033061751413676274,0.0001616480418270737,0.00040011501275219994,0.0005107849578563785,0.0005999752010136195,754,3
99%_DR,0.00010589323721634738,0.00032281754377108375,0.00020525399255573427,0.00012656760873821924,0.00011428496258379877,0.00020160236778086406,0.00021000862348701237,9.566157473831571e-05,754,3
95%_DR,7.098351653314339e-05,0.0001558458734193103,0.00012799913803282882,5.012245371931452e-05,4.3280091441817564e-05,9.506195805590467e-05,0.00013891571549634512,3.87068857189568e-05,754,3
5%_DR,4.2752465184359405e-06,5.2817487177533115e-06,4.404621344656114e-06,2.213780787579539e-06,1.538733732995766e-06,2.7958812396677025e-06,3.7030893903904182e-06,3.4673484912905887e-06,754,3
1%_DR,2.568820976870232e-06,2.465597819901073e-06,2.0893529125210834e-06,9.728669640092452e-07,9.015885698786236e-07,1.2329826906635385e-06,2.5105476438451357e-06,1.5311949056286624e-06,754,3
Min_DR,1.263361660528464e-06,1.238483530993777e-06,6.320778820651951e-07,2.1665064001033437e-07,4.295880830018793e-07,2.1665064001033437e-07,1.380622600584794e-06,8.153415143348355e-07,754,3
Max_DR,0.00026571707067214636,0.0004434317859073192,0.0003863183097742978,0.00039023685155703644,0.00021016239540550558,0.0004434317859073192,0.0005505809389928156,0.0006167122663422069,784,3
99%_DR,0.00015424937887651753,0.0003830611935592398,0.00025771731930157793,0.00017124272962052418,0.00015991325002769755,0.00024696671987554296,0.0002837119316637794,0.00016759746422384392,784,3
95%_DR,0.0001014154805982953,0.00018860892399154958,0.00017346944148155033,7.225087055953061e-05,6.317187944299603e-05,0.00012748825588986074,0.00017594876690917198,5.3215006986764856e-05,784,3
5%_DR,6.741060885670474e-06,8.349314686132406e-06,7.77495130402437e-06,4.0346327895352966e-06,3.017076690619795e-06,4.927219988320466e-06,7.146546223252754e-06,4.534215801638988e-06,784,3
1%_DR,4.320494258923959e-06,4.689778108556764e-06,3.921139599773338e-06,1.936720094226462e-06,1.6999085738479862e-06,2.2692201933357593e-06,4.29720134329582e-06,2.502129085689088e-06,784,3
Min_DR,2.114305478088839e-06,2.4541876722429984e-06,1.0427897581235284e-06,6.367624114587707e-07,8.498579345315411e-07,6.367624114587707e-07,2.186573010130084e-06,1.688148395188457e-06,784,3
Max_DR,0.0003769099767480747,0.0004745711012885293,0.0004193540190572846,0.0003690797811657669,0.00024119543305711072,0.0004745711012885293,0.0005418212235421807,0.0005730992807910096,814,3
99%_DR,0.00021188085163635642,0.0003384210689447536,0.00028610922740140944,0.00018217003393571014,0.00018192354257933103,0.0002595813958984684,0.00028486203908081935,0.00019163201495561754,814,3
95%_DR,0.00012715656327901147,0.00019878128133765506,0.00020493755379634722,8.79816460020935e-05,7.591221774470355e-05,0.00015358613627937585,0.00020437010324704137,6.192222329501218e-05,814,3
5%_DR,8.947426662356508e-06,1.0363643368880715e-05,9.70414445576134e-06,5.273273106190816e-06,3.943005428095728e-06,6.231098852781228e-06,7.536526354038389e-06,4.81989947449706e-06,814,3
1%_DR,5.377821001605384e-06,5.957743144785623e-06,4.846041238243784e-06,2.434604372168368e-06,2.348023278894914e-06,3.012544894177343e-06,4.052826962706554e-06,2.6452201256805416e-06,814,3
Min_DR,2.4274806982901945e-06,3.5336355553168783e-06,1.3508434252910786e-06,8.239286950792169e-07,1.152668914117901e-06,8.239286950792169e-07,2.174509136722802e-06,8.868934047602284e-07,814,3
Max_DR,0.0003535335571155389,0.0004509451675764041,0.00040093518059270924,0.000367530944305664,0.00022166236863518224,0.0004509451675764041,0.0003799467732531117,0.0005680951038642438,827,3
99%_DR,0.0001886173811158162,0.0003950895174608803,0.0002816945254185484,0.00016579334190136498,0.00016665613563091063,0.00027627452934455595,0.0002700259226100816,0.0002317899119853782,827,3
95%_DR,0.00011522002447588071,0.00021454306747148435,0.0001937847333806751,7.93794931848026e-05,6.713799626776951e-05,0.0001438671939904285,0.0001835344594959819,6.66150980288586e-05,827,3
5%_DR,7.806983695813531e-06,9.640928027841788e-06,8.820606018899573e-06,4.684501612757765e-06,3.598233069020202e-06,5.723918387151156e-06,1.0169256254624181e-05,5.321864985268614e-06,827,3
1%_DR,4.913041699402684e-06,5.36054817638837e-06,4.479672316729688e-06,2.167047478933069e-06,2.0649295266149926e-06,2.770920890474034e-06,5.508727654350113e-06,2.735583219539971e-06,827,3
Min_DR,2.1042102359712017e-06,3.3334614284559026e-06,1.2520279380518324e-06,7.495816482591951e-07,1.02480029382073e-06,7.495816482591951e-07,3.732724356541283e-06,9.400862280358854e-07,827,3
